Sample,Tissue,Sex,Age
GTEX-NL4W-0011-R2a-SM-2I5GV,Substantia_Nigra,Male,53.0
GTEX-11UD1-0011-R2b-SM-5BC6O,Substantia_Nigra,Female,44.0
GTEX-12WS9-0011-R2a-SM-5CVNE,Substantia_Nigra,Female,59.0
GTEX-131XH-0011-R2b-SM-5DUVY,Substantia_Nigra,Male,53.0
GTEX-13O3Q-0011-R2b-SM-5KM3K,Substantia_Nigra,Male,53.0
GTEX-PWO3-0011-R2A-SM-2S1OX,Substantia_Nigra,Female,69.0
GTEX-147GR-0011-R2b-SM-5S2RQ,Substantia_Nigra,Male,65.0
GTEX-13NYS-0011-R2b-SM-5MR4G,Substantia_Nigra,Male,63.0
GTEX-QDT8-0011-R2A-SM-32PKQ,Substantia_Nigra,Female,30.0
GTEX-13G51-0011-R2b-SM-5LZXS,Substantia_Nigra,Male,69.0
GTEX-N7MT-0011-R2a-SM-2I3GI,Substantia_Nigra,Female,68.0
GTEX-132Q8-0011-R2b-SM-5EQ5Z,Substantia_Nigra,Male,68.0
GTEX-13OW6-0011-R2a-SM-5L3HG,Substantia_Nigra,Male,59.0
GTEX-N7MS-0011-R2a-SM-2HML6,Substantia_Nigra,Male,61.0
GTEX-T6MN-0011-R2A-SM-32QOW,Substantia_Nigra,Male,51.0
GTEX-WVLH-0011-R2A-SM-3MJFJ,Substantia_Nigra,Male,58.0
GTEX-RVPU-0011-R2A-SM-2XCAG,Substantia_Nigra,Male,57.0
GTEX-YJ89-0011-R2b-SM-4RGLT,Substantia_Nigra,Male,60.0
GTEX-RU72-0011-R2A-SM-2TF6O,Substantia_Nigra,Female,59.0
GTEX-NPJ7-0011-R2a-SM-2I3GF,Substantia_Nigra,Female,68.0
GTEX-Q2AG-0011-R2A-SM-2HMIT,Substantia_Nigra,Female,42.0
GTEX-12WSA-0011-R2a-SM-57WDK,Substantia_Nigra,Male,67.0
GTEX-12WSH-0011-R2a-SM-5GU68,Substantia_Nigra,Male,59.0
GTEX-QVJO-0011-R2A-SM-2S1QK,Substantia_Nigra,Female,64.0
GTEX-T2IS-0011-R2A-SM-32QPF,Substantia_Nigra,Female,24.0
GTEX-WL46-0011-R2A-SM-3LK6O,Substantia_Nigra,Male,53.0
GTEX-1313W-0011-R2a-SM-5EGLF,Substantia_Nigra,Female,54.0
GTEX-OXRO-0011-R2A-SM-3NB1W,Substantia_Nigra,Female,62.0
GTEX-T5JC-0011-R2A-SM-32PLZ,Substantia_Nigra,Male,27.0
GTEX-UTHO-0011-R2A-SM-3GIKC,Substantia_Nigra,Male,68.0
GTEX-X585-0011-R2B-SM-46MVF,Substantia_Nigra,Male,56.0
GTEX-OHPN-0011-R2A-SM-2I5FB,Substantia_Nigra,Female,61.0
GTEX-ZE9C-0011-R2a-SM-4WKGH,Substantia_Nigra,Male,69.0
GTEX-13QJC-0011-R2b-SM-5PNUN,Substantia_Nigra,Female,68.0
GTEX-QMR6-0011-R2A-SM-32PKV,Substantia_Nigra,Male,59.0
GTEX-XLM4-0011-R2B-SM-4AT5Z,Substantia_Nigra,Male,64.0
GTEX-1445S-0011-R2b-SM-5PNUH,Substantia_Nigra,Male,64.0
GTEX-WHSE-0011-R2A-SM-3P5ZL,Substantia_Nigra,Male,20.0
