"","Amygdala","Anterior","Caudate","Cerebellar","Cerebellum","Cortex","Frontal_Cortex","Hippocampus","Hypothalamus","Nucleus_Accumbens","Putamen","Spinal_Cord","Substantia_Nigra","Blood"
"GTEX-1212",0,0,0,1,1,1,1,1,0,0,0,1,0,0
"GTEX-1258",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"GTEX-1269",1,0,0,0,1,1,0,0,0,0,0,0,0,0
"GTEX-12WS",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-12ZZ",1,1,1,1,1,1,1,1,1,1,1,0,1,0
"GTEX-1311",1,1,1,0,1,0,0,1,0,1,1,0,0,0
"GTEX-1313",1,1,1,1,1,1,1,1,1,1,1,0,1,0
"GTEX-131X",1,1,0,1,1,1,1,1,1,1,0,1,1,0
"GTEX-131Y",1,1,1,1,1,1,1,1,0,0,1,1,0,0
"GTEX-132Q",0,0,1,1,1,1,1,1,1,0,1,0,1,0
"GTEX-1399",1,0,1,1,1,1,0,1,1,1,0,0,1,0
"GTEX-139T",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-139U",1,1,1,1,1,1,0,0,1,1,1,1,0,0
"GTEX-13CF",0,1,1,1,1,0,0,1,1,0,1,0,1,0
"GTEX-13CI",0,1,1,0,0,0,0,0,1,0,0,1,0,0
"GTEX-13CZ",1,1,1,1,0,0,1,0,0,0,1,0,0,0
"GTEX-13FH",0,1,1,1,1,1,1,1,0,1,1,0,0,0
"GTEX-13FL",1,1,1,1,0,1,1,1,1,1,1,1,0,0
"GTEX-13FT",0,0,0,1,0,0,1,1,0,0,0,1,0,0
"GTEX-13FX",0,0,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-13G5",0,0,1,1,1,1,1,1,1,1,1,0,1,0
"GTEX-13IV",0,1,1,1,0,1,1,0,1,1,0,0,0,0
"GTEX-13JU",0,0,1,1,1,1,1,1,0,1,1,1,0,0
"GTEX-13JV",1,1,1,1,1,1,1,1,1,1,1,0,0,0
"GTEX-13N1",1,1,1,1,0,0,1,1,1,1,1,1,0,0
"GTEX-13N2",1,1,1,1,1,0,1,1,0,1,1,1,0,0
"GTEX-13NY",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-13NZ",0,0,1,1,1,0,1,1,1,0,0,1,0,0
"GTEX-13O1",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GTEX-13O3",1,1,1,1,1,1,1,1,1,1,1,0,1,0
"GTEX-13OV",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-13OW",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-13PD",0,0,0,0,1,0,0,1,1,1,0,0,0,0
"GTEX-13PL",0,1,1,1,0,1,0,0,0,1,0,1,0,0
"GTEX-13PV",1,1,1,1,1,1,0,0,0,0,1,1,0,0
"GTEX-13QI",1,1,0,1,1,1,1,1,1,0,0,0,0,0
"GTEX-13QJ",0,0,0,0,0,0,1,1,1,1,1,1,1,0
"GTEX-13RT",1,1,1,1,1,0,1,1,1,1,1,1,1,0
"GTEX-13S7",0,1,1,1,1,1,1,1,0,1,1,1,0,0
"GTEX-13SL",1,1,1,1,0,1,1,1,1,1,0,1,1,0
"GTEX-13VX",1,1,1,1,1,1,0,0,0,1,1,1,0,0
"GTEX-13X6",1,1,1,1,1,1,1,1,1,1,1,1,1,0
