"","Amygdala","Anterior","Caudate","Cerebellar","Cerebellum","Cortex","Frontal_Cortex","Hippocampus","Hypothalamus","Nucleus_Accumbens","Putamen","Spinal_Cord","Substantia_Nigra","Blood"
"GTEX-1117F",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GTEX-111FC",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"GTEX-111YS",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-1122O",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-1128S",0,0,0,0,1,1,0,0,0,0,0,0,0,1
"GTEX-113IC",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-113JC",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-117XS",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"GTEX-117YW",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-1192W",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-1192X",0,0,0,0,1,1,0,0,0,0,0,0,0,1
"GTEX-11DXW",0,0,0,0,1,1,0,0,0,0,0,0,0,1
"GTEX-11DXX",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-11DXY",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"GTEX-11DXZ",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-11DYG",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"GTEX-11DZ1",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GTEX-11EI6",0,0,0,0,1,1,0,0,0,0,0,0,0,1
"GTEX-11EM3",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-11EMC",0,0,0,0,1,1,0,0,0,0,0,0,0,1
"GTEX-11EQ8",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"GTEX-11EQ9",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-11GS4",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"GTEX-11GSO",0,1,0,0,1,1,0,1,0,0,0,0,1,1
"GTEX-11GSP",0,0,1,1,1,1,1,0,1,1,1,1,0,1
"GTEX-11H98",0,0,1,1,0,0,1,0,1,0,0,0,0,0
"GTEX-11I78",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-11ILO",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-11LCK",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-11NSD",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GTEX-11NUK",0,0,0,0,1,1,0,0,0,0,0,0,0,1
"GTEX-11NV4",0,0,1,0,1,1,0,0,0,1,1,0,0,1
