Sample,Tissue,Sex,Age
GTEX-WVLH-0011-R4A-SM-3MJFS,Amygdala,Female,58.0
GTEX-1269C-0011-R4b-SM-5P9ES,Amygdala,Male,62.0
GTEX-OHPN-0011-R4A-SM-2I5FD,Amygdala,Female,61.0
GTEX-P44G-0011-R4A-SM-2I3FB,Amygdala,Female,34.0
GTEX-147GR-0011-R4a-SM-5S2V2,Amygdala,Male,65.0
GTEX-X4XX-0011-R4B-SM-46MWL,Amygdala,Male,69.0
GTEX-13112-0011-R4b-SM-5DUXL,Amygdala,Male,52.0
GTEX-13OW6-0011-R4a-SM-5O9DX,Amygdala,Male,59.0
GTEX-YFC4-0011-R4a-SM-4RGLQ,Amygdala,Female,47.0
GTEX-RVPU-0011-R4A-SM-2TF6X,Amygdala,Female,57.0
GTEX-13OW5-0011-R3a-SM-5L3I5,Anterior,Male,62.0
GTEX-ZE9C-0011-R3a-SM-4WKGT,Anterior,Male,69.0
GTEX-12WS9-0011-R3a-SM-5CVNF,Anterior,Female,59.0
GTEX-12WSM-0011-R3b-SM-5LZWI,Anterior,Male,63.0
GTEX-145MI-0011-R3b-SM-5PNWK,Anterior,Male,68.0
GTEX-145MH-0011-R3b-SM-5P9JQ,Anterior,Male,57.0
GTEX-ZF28-0011-R3a-SM-4WWDA,Anterior,Female,69.0
GTEX-13FLV-0011-R3b-SM-5LZYP,Anterior,Female,50.0
GTEX-RNOR-0011-R3A-SM-2TF5J,Anterior,Female,52.0
GTEX-YJ89-0011-R3b-SM-4V6EF,Anterior,Female,60.0
GTEX-RVPU-0011-R5A-SM-2XCAD,Caudate,Male,57.0
GTEX-1399T-0011-R5b-SM-5IJDK,Caudate,Male,67.0
GTEX-13O3O-0011-R5b-SM-5KM44,Caudate,Male,68.0
GTEX-WL46-0011-R5A-SM-3LK6V,Caudate,Male,53.0
GTEX-NPJ8-0011-R5a-SM-2HMJY,Caudate,Male,40.0
GTEX-OXRN-0011-R5A-SM-2I5EF,Caudate,Female,59.0
GTEX-13OW5-0011-R5b-SM-5L3FR,Caudate,Female,62.0
GTEX-RVPV-0011-R5A-SM-2TF69,Caudate,Female,67.0
GTEX-R55F-0011-R5A-SM-2TF5L,Caudate,Female,55.0
GTEX-OHPN-0011-R5A-SM-2I5FF,Caudate,Female,61.0
GTEX-12WSM-0011-R11a-SM-5DUX8,Cerebellar,Male,63.0
GTEX-YFC4-0011-R11a-SM-4SOK6,Cerebellar,Female,47.0
GTEX-11H98-0011-R11b-SM-5NQ6U,Cerebellar,Male,50.0
GTEX-T6MN-0011-R11A-SM-32QOX,Cerebellar,Male,51.0
GTEX-13N1W-0011-R11a-SM-5MR3D,Cerebellar,Male,70.0
GTEX-N7MS-0011-R11A-SM-2HMJS,Cerebellar,Male,61.0
GTEX-RVPU-0011-R11A-SM-2XCAF,Cerebellar,Female,57.0
GTEX-13CF2-0011-R11b-SM-5LZXO,Cerebellar,Female,61.0
GTEX-WVLH-0011-R11A-SM-3MJFO,Cerebellar,Female,58.0
GTEX-12WSF-0011-R11a-SM-5LZVT,Cerebellar,Female,70.0
GTEX-YJ89-2926-SM-5P9IT,Cerebellum,Male,60.0
GTEX-11TTK-2826-SM-5GU5K,Cerebellum,Male,69.0
GTEX-ZDXO-2926-SM-4WKFM,Cerebellum,Female,60.0
GTEX-11ZUS-2826-SM-5EQKW,Cerebellum,Male,37.0
GTEX-R55F-1226-SM-2TF59,Cerebellum,Female,55.0
GTEX-P44G-2526-SM-2I5EK,Cerebellum,Male,34.0
GTEX-12ZZY-2926-SM-5DUXO,Cerebellum,Male,64.0
GTEX-13OVH-2926-SM-5IJFH,Cerebellum,Female,70.0
GTEX-13OW8-2926-SM-5L3FV,Cerebellum,Female,66.0
GTEX-NPJ7-2826-SM-2I3FU,Cerebellum,Female,68.0
GTEX-14A5I-2926-SM-5Q5CQ,Cortex,Male,53.0
GTEX-N7MT-1126-SM-5SI7V,Cortex,Male,68.0
GTEX-XLM4-3026-SM-4AT6L,Cortex,Male,64.0
GTEX-ZUA1-3026-SM-59HJC,Cortex,Male,46.0
GTEX-N7MT-1126-SM-2YUNQ,Cortex,Male,68.0
GTEX-13FLW-1426-SM-5K7YE,Cortex,Female,57.0
GTEX-145MF-2726-SM-5O995,Cortex,Female,50.0
GTEX-YJ89-3026-SM-5IFJI,Cortex,Female,60.0
GTEX-YFC4-3126-SM-5PNV6,Cortex,Female,47.0
GTEX-ZYFD-3026-SM-5E44C,Cortex,Female,55.0
GTEX-12WSM-0011-R10a-SM-5DUWV,Frontal_Cortex,Male,63.0
GTEX-X585-0011-R10A-SM-46MUY,Frontal_Cortex,Male,56.0
GTEX-OHPN-0011-R10A-SM-2I5FL,Frontal_Cortex,Female,61.0
GTEX-13QJC-0011-R10a-SM-5SI63,Frontal_Cortex,Male,68.0
GTEX-147F4-0011-R10b-SM-5S2WC,Frontal_Cortex,Female,50.0
GTEX-13FLV-0011-R10b-SM-5LZZ2,Frontal_Cortex,Female,50.0
GTEX-131XW-0011-R10a-SM-5DUVA,Frontal_Cortex,Male,51.0
GTEX-12WSA-0011-R10b-SM-5P9ET,Frontal_Cortex,Male,67.0
GTEX-1477Z-0011-R10b-SM-5S2RF,Frontal_Cortex,Female,65.0
GTEX-QMR6-0011-R10A-SM-32PKO,Frontal_Cortex,Male,59.0
GTEX-T5JC-0011-R1A-SM-32PM6,Hippocampus,Male,27.0
GTEX-1212Z-0011-R1b-SM-5BC72,Hippocampus,Male,66.0
GTEX-13N1W-0011-R1b-SM-5MR4T,Hippocampus,Male,70.0
GTEX-RNOR-0011-R1A-SM-2TF5D,Hippocampus,Female,52.0
GTEX-Q2AG-0011-R1A-SM-2HMJI,Hippocampus,Male,42.0
GTEX-12WSD-0011-R1b-SM-5LZVY,Hippocampus,Male,64.0
